pool,field0_hex,candidate_rank,xml_tag,files_tested,both_nonzero,nonzero_exact,all_file_exact_rate,pearson,score
others,0x00a5,2,bypassFxValue,375,134,20,0.0613,0.121049,1.182382
others,0x00a5,3,metaDynam,375,370,12,0.0427,0.500510,1.143177
others,0x00a6,1,metaChord,375,232,232,1.0000,1.000000,3.000000
others,0x00a6,2,fstKeyFlats,375,232,0,0.3787,0.994357,1.373023
others,0x00a6,3,fstKeySharps,375,232,0,0.3760,0.972101,1.348101
others,0x00a7,1,metaClef,375,375,375,1.0000,1.000000,3.000000
others,0x00a7,2,fontName,375,375,51,0.1360,0.834321,1.970321
others,0x00a7,3,execShape,375,142,2,0.0053,0.948237,1.053570
others,0x00a8,1,metaDynam,375,371,371,1.0000,1.000000,3.000000
others,0x00a8,2,staffStyle,375,368,8,0.0293,0.914303,1.343636
others,0x00a8,3,metaKeySig,375,368,6,0.0240,0.888962,1.212962
others,0x00a9,1,metaKeySig,375,369,369,1.0000,1.000000,3.000000
others,0x00a9,2,fretInst,375,369,101,0.2693,0.993929,2.263263
others,0x00a9,3,metaDynam,375,368,6,0.0240,0.888962,1.212962
others,0x00aa,1,metaRepeat,375,141,141,1.0000,1.000000,3.000000
others,0x00aa,2,textRepeatText,375,140,137,0.9707,0.992391,2.963058
others,0x00aa,3,textRepeatDef,375,140,137,0.9707,0.992391,2.963058
others,0x00ab,1,metaShape,375,140,140,1.0000,1.000000,3.000000
others,0x00ab,2,metaTimeSig,375,135,119,0.9333,0.985955,2.919288
others,0x00ab,3,markingsDialogList,375,133,2,0.6187,0.949927,1.668594
others,0x00ac,1,metaStaffStyle,375,318,318,1.0000,1.000000,3.000000
others,0x00ac,2,fretStyle,375,318,169,0.4507,0.990676,2.441343
others,0x00ac,3,fretInst,375,318,169,0.4507,0.980668,2.431335
others,0x00ad,1,metaTimeSig,375,139,139,1.0000,1.000000,3.000000
others,0x00ad,2,metaShape,375,135,119,0.9333,0.985955,2.919288
others,0x00ad,3,markingsDialogList,375,134,2,0.6240,0.944483,1.668483
others,0x00ae,1,metaTuplet,375,95,95,1.0000,1.000000,3.000000
others,0x00ae,2,markingsDialogList,375,86,86,0.8373,0.583070,2.420403
others,0x00ae,3,audioUnitInfo,375,84,76,0.8187,0.544871,2.363538
others,0x00af,1,mmRest,375,49,49,1.0000,1.000000,3.000000
others,0x00af,2,repeatBack,375,9,1,0.8453,0.336248,1.231581
others,0x00af,3,repeatStaffListPartsOverride,375,19,2,0.8187,0.140288,1.058955
others,0x00b0,1,measSpec,375,375,369,0.9840,0.942510,2.926510
others,0x00b0,2,frameSpec,375,375,29,0.0773,0.416404,1.493737
others,0x00b0,3,staffSystemSpec,375,375,10,0.0267,0.648159,1.174825
others,0x00b1,1,measExprAssign,375,354,111,0.3413,0.543060,1.884394
others,0x00b1,2,lockMeas,375,306,53,0.1547,0.626430,1.781096
others,0x00b1,3,repeatStaffListParts,375,223,101,0.3120,0.432083,1.744083
others,0x00b3,1,namePosAbbrv,375,266,262,0.9893,0.997781,2.987114
others,0x00b3,2,namePosFull,375,265,260,0.9840,0.996248,2.980248
others,0x00b3,3,playbackRouteName,375,266,120,0.3200,0.530048,1.850048
others,0x00b4,1,namePosAbbrvStyle,375,336,334,0.9947,0.997844,2.992511
others,0x00b4,2,namePosFullStyle,375,336,325,0.9707,0.922867,2.893533
others,0x00b4,3,staffStyle,375,336,169,0.4667,0.352666,1.819333
others,0x00b5,1,namePosFull,375,265,261,0.9867,0.997687,2.984353
others,0x00b5,2,namePosAbbrv,375,265,260,0.9813,0.996147,2.977480
others,0x00b5,3,playbackRouteName,375,266,120,0.3200,0.529330,1.849330
others,0x00b6,1,namePosFullStyle,375,336,334,0.9947,0.997223,2.991889
others,0x00b6,2,namePosAbbrvStyle,375,336,325,0.9707,0.914710,2.885376
others,0x00b6,3,staffStyle,375,336,161,0.4453,0.387432,1.832766
others,0x00b7,1,textBlock,375,375,258,0.6880,0.988736,2.676736
others,0x00b7,2,staffPlayData,375,375,3,0.0080,0.765110,0.923110
others,0x00b7,3,clefEnum,375,173,1,0.0027,0.713089,0.765756
others,0x00b9,1,staffPlayData,375,375,73,0.1947,0.309762,1.504429
others,0x00b9,2,playbackRouteName,375,375,178,0.4747,-0.054804,1.419863
others,0x00b9,3,playbackRoute,375,375,178,0.4747,-0.054804,1.419863
others,0x00ba,1,staffPlayData,375,375,194,0.5173,0.942748,2.460082
others,0x00ba,2,textExpressionEnclosure,375,319,33,0.0880,0.786966,1.874966
others,0x00ba,3,playbackRouteName,375,375,203,0.5413,0.324928,1.866261
others,0x00bb,1,pageSpec,375,375,374,0.9973,0.999998,2.997332
others,0x00bb,2,staffSystemSpec,375,375,24,0.0640,0.683528,1.747528
others,0x00bb,3,playbackRouteName,375,375,50,0.1333,0.433343,1.566676
others,0x00bc,1,pageGraphicAssign,375,3,2,0.9973,0.942387,2.039720
others,0x00bc,2,fileURLBookmark,375,3,2,0.9813,0.108238,1.189571
others,0x00bc,3,fileAlias,375,3,2,0.9813,0.108238,1.189571
